试题内容	答案
"发现接触网断线或挂有线头,绳索等物件,在接触网检修人员到达以前,应在接触网断线处所(  )米以外进行防护。"	B
查事故隐患就是查管理漏洞人的不安全行为和(  )。	C
安全标志分为禁止警告指令和(  )四类。	C
三同时是指新建改建扩建的工程项目的安全设施必须与主体工程同时设计同时施工(  )。	A
我国的安全生产方针是(  )。	B
安全检查内容包括查领导查思想(  )查管理和查隐患。	B
"总体来说,事故发生的主要原因是(  )。"	A
"停电检修电器设备时,电源开关上应悬挂(  )的标识牌。"	C
"新工人操作机器设备前,应(  )。"	A
"使用电动工具前,应(  )。"	C
"在潮湿的场地上使用手持电动工具时,为避免触电,应(  )。"	A
"所有机器的危险部分,应(  )来确保工作安全。"	C
"在(  )的情况下,不得进行机器维修工作。"	B
"操作转动的机器设备时,不应佩带(  )。"	B
"在线路两侧临时施工或存放物品工具材料等,须与线路保持有一定的间隔,距钢轨最外侧面应不少于(  )米。"	A
安全带主要应用于(  )。	A
"高空作业时,工具应放在(  )。"	B
"在起重作业中,地面人员切勿(  )。"	C
一切生产企业的头等大事是(  )。	B
"机器停用时要关闭电源,是为了(  )。"	B
"焊接作业时,氧气瓶乙炔瓶与作业点火源的距离不应少于(  )。"	B
"各种厂内机动车出入车间库房大门时的速度,不得超过(  )。"	A
"站台上堆放货物,距站台边缘不得少于(  )米。"	A
"适用于消除油脂及一般物品火灾,不适用于消除电器火灾的灭火器是(  )。"	C
"对企业发生的事故,坚持以(  )原则进行处理。"	B
三不伤害活动的内容是不伤害自己不伤害他人(  )。	C
生产过程中的危险因素有:物理性危险因素(  )生物性危险因素。	B
用人单位应当对从事接触职业病危害作业的劳动者进行上岗前在岗期间和离岗时的(  )。	A
(  )属于违章操作。	A
慢性苯中毒主要损害(  )。	B
噪声对人体的影响是(  )。	A
铅中毒时常表现为(  )。	B
电气设备着火应用黄砂二氧化碳干粉1211(  )等灭火器扑救。	C
氧气瓶和乙炔瓶工作间距不少于(  )。	C
"各种气瓶的存放,必须距离明火(  )以上,避免阳光曝晒,搬运时不得碰撞。"	C
消防工作方针是(  )。	A
"易燃与可燃液体挥发的蒸汽与空气混合达到一定浓度,遇明火发生一闪即燃的燃烧现象叫(  )。"	C
火灾事故的防范原则包括预防(  )灭火和疏散四个方面。	B
"灭火中使用二氧化碳灭火器时,人应站在(  )。"	A
"电焊作业的工作场所,不能设置的防火器材是(  )。"	C
"扑救电气火灾时,首先必须尽可能的(  )。"	B
"严格遵守劳动纪律和作业纪律,班前精神饱满,充分休息,严禁班前班中饮酒;严禁脱岗串岗私自替班或换班,不得做与工作无关的事情,上班精神状态不好时要(  )作业。"	B
"架落车时,禁止手扶心盘销。必要时必须在两侧旁承上各垫以(  )mm以上厚的硬木防护垫方准进行。在任何情况下不准将头和身体探入枕梁与摇忱之间。"	B
"作业人员必须(  ),正确使用劳动防护用品和特种劳动防护用品。"	C
"机务段对所有从业人员必须进行专项的(  )教育培训和考试,使所有从业人员熟知各项劳动安全标准和防范措施,未经专项劳动安全培训和考试合格的人员,不得上岗作业。"	B
"机车上部和高处作业必须使用安全带,并绑于安全牢固处防止坠落。所用工具必须放置在(  )中,禁止在机车上部放置工具。"	C
"更换焊条时必须戴好(  ),身体不要靠在铁板或其它导电物件上。敲焊渣时必须戴上防护眼镜。"	B
"电焊作业必须掌握电气知识,熟悉(  )技术,触电急救及人工呼吸方法,下雨天不准露天作业,在潮湿地带作业时,必须站在铺有绝缘物品的地方并穿好绝缘鞋。"	C
"各级劳动安全管理人员对检查中发现的违章指挥违章作业违反(  )等现象,要立即责令整改消除隐患。"	B
风力大于(  )级时禁止攀登油罐作业。	B
"确保(  )安全是企业管理的重要内容,是铁路运输生产的重要基础和基本保障,关系到社会企业家庭的和谐稳定,关系到铁路运输生产能否有序平稳发展。"	A
"在容器内焊接,外面必须设人监护,并有良好(  )措施。"	A
"班组( 车队指导组 )是确保劳动安全管理的落实主体,对本班组( 车队指导组 )劳动安全负(  )责任。"	C
"实行气焊作业时,乙炔气瓶与氧气瓶必须保持(  )米以上距离。"	C
"高处作业必须做好安全防护和按规定使用(  ),工具材料要放置稳妥,传递物件不得抛掷,防止坠落伤人。"	B
"严格执行作业标准操作规程等有关的安全规章制度,(  )简化作业过程。"	B
"登乘机车人数,一次不得超过(  )人。"	B
"严禁无证酒后驾驶厂内机动车,行驶中严格遵守段内库内规定速度。在坑沟附近行驶或作业时,要保持距坑沟边沿(  )米以上距离,必要时必须有专人指挥。"	C
"如工作需要进行夜间工作时,必须有足够的照明设备,而且必须有(  )人以上进行,相互监护,互相提醒。"	B
"上下班途中严格遵守《中华人民共和国道路交通安全法》,横穿马路时要走人行横道线,看好(  )标志确保人身安全。严禁乘坐无证无牌的私人车辆。"	B
"登高(  )米及以上作业( 电工作业检查油罐安置设备 )时,应检查移动梯子及油罐的台梯等设备是否完好,作业时应系好安全带,有专人防护。"	A
安全生产管理应坚持(  )的方针。	B
"机务段要认真贯彻安全第一预防为主综合治理的方针,全面落实安全生产(  )制,加强劳动安全管理,强化从业人员安全教育和培训"	B
叉车、铲车、升降车等在电气化区域作业时必须与接触网设备的带电部分保持(  )米以上的距离。	B
NS1600轨道起重机吊重作业中，需要打支腿时必须选择6m，地面必须坚实，调整支腿油缸的伸出长度，保证车体倾斜度不大于1°，支腿油缸的伸出量不大于行程的(   )。	C
起重机在曲线上作业，起吊物件向曲线内侧回转时，吊件重量比额定起重量减少（   ）。	C
NS1600轨道起重机水平仪安装精度的检验，以底架回转支承安装表面为基准，水平仪安装精度应在(   )o范围。	A
NS1600轨道起重机中央监控系统下报警灯亮，表示负载达到额定负载的（  ）。	B
NS1600轨道起重机载重稳定性系数K1必须≥(   )。	A
NS1600轨道起重机的静态稳定安全系数墨应大于或等于(     )。	A
在正常情况下，蓄电池电解液的比重为（   ）。	C
NS1600轨道起重机起吊重量接近最大时，支腿下面的地面受压面积不应小于(     )平方米。	C
NS1600轨道起重机第三节臂有几个工作位置（   ）	C
NS1600轨道起重机双回转功能须解除(    )米自动支腿模式。	C
天气不良瞭望距离不足100m，连挂车辆时应距被挂车辆不小于（   ）m处停车。	C
NS1600轨道起重机在长大下坡道作业时，线路坡度超过千分之（  ）时，机车连挂。	C
进入停有机车车辆线路的道岔后，应根据停留车位置，正确掌握速度，调车最高速度不得超过（   ）km/h。	C
 NS1600轨道起重机到达现场后，起重机及平车（携带工具车）由机车推进时根据调车作业的有关要求，不超过    (     )km/h。	A
变幅时0度-50度作业时间为(    )S。	A
NS1600轨道起重机吊钩对所挂物件，挂绳之间的夹角，应小于( )º，以免吊挂绳受力过大。	C
自动调平装置最大调整量为(     )mm。	B
NS1600轨道起重机无动力回送时，应将分配阀安全阀压力调整至（  ）Kpa。	B
每次起吊前须经过试吊，当物件吊起少许大于( )㎜离开地面时，应暂停起升。	A
NS1600轨道起重机下列哪个工况使用了辅助支撑（   ）	B
两台起重机的最大起重量的比值不应低于(    )。	B
NS1600轨道起重机倾斜补偿范围是（　 　）	C
NS1600轨道起重机单组蓄电池电压为（   ）	B
NS1600轨道起重机可通过的最小曲线半径为（　 　）	B
NS1600轨道起重机液压系统旋转接头在（    ）保养中应进行泄露测试。	B
NS1600轨道起重机上车装备储风缸为（   ）	C
NS1600轨道起重机起重性能为160吨时卷扬机构的钢丝绳绕组为（    ）。	B
NS1600轨道起重机起重性能为160吨时卷扬机构的钢丝绳绕组为	C
NS1600轨道起重机回送状态下的高度和宽度为（ ）	A
NS1600轨道起重机在回送状态时，臂架平车上的吊臂支撑系统工作压力为（　 　）	C
NS1600轨道起重机初始限高为（   ）	B
NS1600轨道起重机制动所需最小风压为（  ）	C
NS1600轨道起重机机电路图中，下列哪个编号为继电器（ 　）	B
NS1600轨道起重机控制油压来自于（  ）	C
在NS1600轨道起重机起重装吊作业中主要起拴挂联吊具作用的为（ ）。 	B
NS1600轨道起重机机操作人员（    ）将限位开关作为正常操作使用范围。	B
NS1600轨道起重机使用紧急调平时，（    ）自动调平控制装置。	A
NS1600轨道起重机如自动调平控制装置发生错误信息，此时尽可能卸下负载，并在手动模式下操作（    ）。	B
NS1600轨道起重机曲线编号1254的含义是（   ）。	C
NS1600轨道起重机曲线编号1254的含义是（  ）。	B
NS1600轨道起重机工作中出现发动机红色报警时应（  ）	B
"如接触网已断导线等侵入建筑接近限界危及行车安全时,则必须根据（   ）的规定进行防护处理。"	A
车轮踏面擦伤深度不超过(     ) mm；	C
NS1600轨道起重机倾斜补偿范围是（ 　 ）	A 
NS1600轨道起重机其自动调平装置在轨道有超高是无极自动调整范围为 （     ）。	C
NS1600轨道起重机其自动调平装置在轨道有超高时无级自动调整范围为(   )。	C
NS1600轨道起重机的吊钩起升速度为2X6倍时为。（        ）	C
如果不考虑风力、惯性力等附加载荷，只要起重机的稳定系数大于或等于（    ），起重机就处于稳定状态。	B
在正常情况下，蓄电池电解液的冬季比重为（   ）。	C
NS1600轨道起重机柴油主油箱容积为（     ）	C
NS1600轨道起重机柴油主油箱容积为（  ）。 	C
一般事故调查期限为（）天	C
NS1600轨道起重机单个蓄电池电压为（   ）	A
NS1600轨道起重机一组蓄电池电压为（   ）	B
NS1600轨道起重机在超载动态试验载荷取额定起升载荷的（    ）％。	A
NS1600轨道起重机在长大下坡道作业时，线路坡度超过千分之（     ）时，应与机车连挂。	B
蓄电池补充充电时间约为（       ）h。	C
NSl600型伸缩轨道起重机在变幅工况0-50度，其时间为(   )。	C
NS1600轨道起重机起吊接近最大起重能力物件时，应先将物件吊起，离地面(  )时停止。	B
在开始起吊负载时，应先用“微动”信号指挥，待负载离开地面（    ）稳妥后，再用正常速度指挥。必要时，在负载降落前，也应使用“微动”信号指挥。	C
操纵液压系统支腿向外打开时，其打开角度最大为(   )。	B
下列哪个工况符合NS1600轨道起重机使用支腿自动6M功能时的工况（     ）	C
NS1600轨道起重机的闸瓦到限或有裂纹时，均须更换，其闸瓦到限厚度为(    )。	C
轮对内侧距离为(   ) mm，允许偏差为±3 mm；	A
NS1600起重机超载静态试验时，载荷取额定起升载荷的（      ）％。	C
NS1600轨道起重机三节臂轨道起重机二节臂全伸长度为(  )。	C
NJ2型机车的自重为(     )T。	A
DF7G型机车的自重为(      )T。	C
DF4、DF4B：、DF4DF4D型机车的自重为(   )T。	C
"NS1600轨道起重机,蓄电池补充充电时间约为(     )h。"	C
已清求救援时，从救援列车开来方向(不明时，从列车前后两方面)，距离列车不小于（     ）处防护。	A
NS1600轨道起重机通过最小曲线半径是（   ）	A
NS1600轨道起重机±10°回转，支腿跨距6m×13m，挂活动配重，工作幅度9m，可起吊(  。	C
NS1600轨道起重机在启动发动机时，不能旋转点火钥匙超过（   ）秒钟	A
NS1600轨道起重机在坡道上不打支腿进行作业时，起重机应在制动状态并于机车连挂的情况下进行作业，并且只允许在顺轨    (    )范围内回转。	A
NS1600轨道起重机吊钩对所挂物件，挂绳之间的夹角，应小于( )º，以免吊挂绳受力过大。 	C
NS1600轨道起重机回送时的最高速度为（ 　　）	C
NS1600轨道起重机机吊钩滑轮组在2X6倍率时，起重量为（     ）吨。	B
NS1600轨道起重机羊角钩的额定起重量为（    ）。	A
NS1600轨道起重机在顺轨±10°范围内，工作幅度9m，可起吊(   )	C
NS1600轨道起重机柴油机的型号为QSB5.9-C240，额定功率179kw，额定转速2100r/min，水冷(    )直列、四冲程、电喷式、涡轮增压及二次增压空气冷却的柴油机。	B
起吊接近最大起重能力的物件时，应先将物件吊起，离地面（    ）毫米时停止，检查起重机稳定，各部无异状，再继续起吊。	B
轮缘的垂直磨耗高度不超过(   ) mm，并无碾堆；	C
NS1600轨道起重机起升机构的型式为（   ）。	A
NS1600轨道起重机液压系统旋转接头在（     ）保养中应进行泄露测试。	B
NS1600轨道起重机上车装备储风缸为（    ）	C
NS1600轨道起重机驱动轴排序为（        ）	B
NS1600轨道起重机驱动轴排序为（　 　）	B
起吊高度应高于地面物体（    ）以上。	A
NJ2型机车的换长为(    )。	A
DF4、DF4B：、DF4DF4D型机车的换长为(    )。	B
NS1600轨道起重机起动前液压油箱和柴油箱的油液储量，不得低于油位的（  ）	A
一般柴油机的热效率是（    ）。	C
NS1600起重机吊臂支撑油缸压力应为(     )bar。	A
NS1600轨道起重机定期检查电解液的液面高度，一般应高出极板顶面(    )，低于正常值时，应加入纯净的蒸馏水。	B
NS1600轨道起重机在作业中支腿承载总和不小于(  )t。	C
NS1600起重机在作业中支腿承载总和不小于(    )t。	C
NS1600轨道起重机的柴油机机油油位，应在柴油机停止工作(     )后才能检测出准确的数据。	C
NS1600轨道起重机在回送状态下起重机的最大轴重为(    )。	B
在回送状态下NS1600轨道起重机的最大轴重为（         ）。	B
NS1600轨道起重机三节臂轨道起重机三节臂全伸长度为(  )。	C
NS1600轨道起重机电气系统电路额定电压为(  )。	A
液压起复设备主油缸的技术参数之一总行程：2级为（  ）mm。	C
NS1600轨道起重机最大轴重(     )	C
发现接触网断线，应在断线处（   )以外防护。	B
NS1600轨道起重机的最大轴重为（  ）	A
NS1600轨道起重机摆动机构的型式为（    ）。	B
NS1600轨道起重机起吊重量接近最大时，支腿下面的地面受压面积不应小于（      ）平方米。	C
NS1600轨道起重机液压油箱容积是（ 　　）	A
NS1600轨道起重机带平车最高自力走行速度为（   ）	C
启动柴油机是每次旋转点火开关不能超过（      ）。	B
柴油机在标定工况时，主机油道的机油压力一般为(     )。	C
NS1600轨道起重机在回送状态时，臂架平车上的吊臂支撑系统工作压力为（ 　）	C
NS1600轨道起重机卷扬机构的钢丝绳直径为（    ）。	B
NS1600轨道起重机电气系统采用（       ）电压。	C
安全电压是指对人体不会引起生命危险的电压，一般指（   ）。	B
NS1600轨道起重机外接预热电源电压为（    ）	C
为保证人身安全，除专业人员执行有关规定外，其他人员（包括所携带的物件）与牵引供电设备带电部分的距离，不得少于   (     )mm。	A
 NS1600轨道起重机大臂起升后，高度不超过（    ）米并顺轨，自力走行时速度不超过15km/h。	A
NS1600轨道起重机吊臂伸缩速度为(     )。	B
NS1600轨道起重机吊臂伸缩速度为（       ）。	B
NS1600轨道起重机360°全回转，支腿跨距6m×13m，挂活动配重，工作幅度7m，可起吊(  )。	A
滑轮在使用中，发现绳槽不均匀磨损达（       ）mm时，应于报废。	B
